Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
111,"The Martian","Andy Weir","Weir, Andy","","=\"055341802X\"","=\"9780553418026\"",4,4.41,"Broadway","Paperback",387,2014,2011,2018/03/03,2017/01/01,"sci-fi","sci-fi (#9)",read,,,,1,1
112,"Project Hail Mary","Andy Weir","Weir, Andy","","=\"0593135202\"","=\"9780593135204\"",0,4.5,"Ballantine","Hardcover",496,2021,2021,,2023/01/15,"to-read, sci-fi","to-read (#3), sci-fi (#10)",to-read,,,,0,0
113,"Kindred","Octavia E. Butler","Butler, Octavia E.","","=\"0807083690\"","=\"9780807083697\"",5,4.3,"Beacon Press","Paperback",287,2004,1979,2020/10/10,2019/08/08,"sci-fi, literary","sci-fi (#11), literary (#5)",read,,,,1,1
114,"The Fifth Season","N.K. Jemisin","Jemisin, N.K.","","=\"0316229296\"","=\"9780316229296\"",4,4.3,"Orbit","Paperback",512,2015,2015,2021/12/12,2020/04/04,"fantasy, sci-fi","fantasy (#2), sci-fi (#12)",read,,,,1,1
115,"Circe","Madeline Miller","Miller, Madeline","","=\"0316556343\"","=\"9780316556347\"",4,4.23,"Little Brown","Paperback",393,2018,2018,2022/02/02,2021/01/01,"literary, mythology","literary (#6), mythology (#1)",read,,,,1,1
116,"Piranesi","Susanna Clarke","Clarke, Susanna","","=\"163557563X\"","=\"9781635575637\"",0,4.22,"Bloomsbury","Hardcover",245,2020,2020,,2024/02/02,"to-read, fantasy","to-read (#4), fantasy (#3)",to-read,,,,0,0
117,"Gilead","Marilynne Robinson","Robinson, Marilynne","","=\"031242440X\"","=\"9780312424404\"",5,3.85,"Picador","Paperback",247,2006,2004,2016/05/05,2015/01/01,"literary","literary (#7)",read,,,,1,1
118,"The Overstory","Richard Powers","Powers, Richard","","=\"039335668X\"","=\"9780393356687\"",4,4.1,"Norton","Paperback",502,2019,2018,2023/07/07,2022/03/03,"literary","literary (#8)",read,,,,1,1
119,"A Little Life","Hanya Yanagihara","Yanagihara, Hanya","","=\"0804172706\"","=\"9780804172707\"",2,4.32,"Anchor","Paperback",720,2015,2015,2019/09/09,2018/01/01,"literary","literary (#9)",read,,,,1,1
120,"Normal People","Sally Rooney","Rooney, Sally","","=\"1984822189\"","=\"9781984822185\"",3,3.81,"Hogarth","Paperback",273,2019,2018,2020/01/20,2019/11/11,"literary","literary (#10)",read,,,,1,1
121,"Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","Zevin, Gabrielle","","=\"0593321200\"","=\"9780593321201\"",4,4.15,"Knopf","Hardcover",401,2022,2022,2024/04/04,2023/06/06,"literary","literary (#11)",read,,,,1,1
122,"James","Percival Everett","Everett, Percival","","=\"0385550367\"","=\"9780385550369\"",0,4.45,"Doubleday","Hardcover",320,2024,2024,,2024/06/01,"currently-reading, literary","currently-reading (#1), literary (#12)",currently-reading,,,,0,0
